phase;dataset;model;seed;train_frac;train_size_used;val_size_used;test_size_used;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;val_accuracy;val_f1_macro;val_precision_macro;val_recall_macro;model_cfg_json;file
phase5_learning_curve;imdb;nb;101;0.4;9000;2500;25000;20251107_013118;0.86408;0.8640281906070783;0.8646357492215206;0.86408;15.176071099936962;0.8776;0.8775999216639498;0.8776009666584746;0.8775999999999999;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac40_s101_20251107_013118.json
phase5_learning_curve;imdb;nb;102;0.4;9000;2500;25000;20251107_014105;0.86304;0.8629774835316704;0.8637037587778436;0.86304;16.398817699984647;0.8832;0.8831981311700987;0.8832245263696876;0.8832;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac40_s102_20251107_014105.json
phase5_learning_curve;imdb;nb;103;0.4;9000;2500;25000;20251107_015232;0.8708;0.870753929669548;0.8713294480624457;0.8708;15.7416236998979;0.8856;0.8855940691965472;0.885679974599533;0.8855999999999999;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac40_s103_20251107_015232.json
phase5_learning_curve;imdb;nb;101;0.6;13500;2500;25000;20251107_013236;0.8678;0.8677595938910172;0.8682500758318819;0.8677999999999999;17.711131599964574;0.884;0.8839993318361514;0.8840088475638479;0.884;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac60_s101_20251107_013236.json
phase5_learning_curve;imdb;nb;102;0.6;13500;2500;25000;20251107_014247;0.86924;0.869184487128958;0.8698678284467185;0.86924;21.328030900098383;0.8844;0.8843990936888946;0.8844120551620499;0.8844000000000001;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac60_s102_20251107_014247.json
phase5_learning_curve;imdb;nb;103;0.6;13500;2500;25000;20251107_015353;0.87024;0.8701941214102713;0.8707641715551778;0.87024;18.309557600063272;0.888;0.887999713279266;0.8880039731606852;0.8879999999999999;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac60_s103_20251107_015353.json
phase5_learning_curve;imdb;nb;101;0.8;18000;2500;25000;20251107_013418;0.86968;0.8696414347220482;0.8701179828161453;0.86968;20.102272500051185;0.8816;0.8815993180120717;0.8816087922665738;0.8815999999999999;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac80_s101_20251107_013418.json
phase5_learning_curve;imdb;nb;102;0.8;18000;2500;25000;20251107_014450;0.8716;0.8715482074151384;0.8722002941627531;0.8716;23.39397249999456;0.8924;0.8923986054859272;0.8924203430705848;0.8924000000000001;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac80_s102_20251107_014450.json
phase5_learning_curve;imdb;nb;103;0.8;18000;2500;25000;20251107_015541;0.87132;0.871273137449105;0.8718614993605632;0.87132;21.060489800060168;0.89;0.8899998415997719;0.8900022464129393;0.89;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac80_s103_20251107_015541.json
phase5_learning_curve;imdb;nb;101;1.0;22500;2500;25000;20251107_013645;0.87232;0.8722736964560771;0.8728606802014549;0.87232;24.10202130000107;0.888;0.8879988531082559;0.8880158931309826;0.888;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac100_s101_20251107_013645.json
phase5_learning_curve;imdb;nb;102;1.0;22500;2500;25000;20251107_014728;0.87296;0.8729119717057103;0.873524640165815;0.87296;26.97526870004367;0.8932;0.8931971120499098;0.8932425331123814;0.8932;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac100_s102_20251107_014728.json
phase5_learning_curve;imdb;nb;103;1.0;22500;2500;25000;20251107_015755;0.87148;0.8714374149293211;0.8719728491462048;0.87148;25.436040099943057;0.8876;0.8875999820159972;0.8876002480641587;0.8876;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\nb_imdb_frac100_s103_20251107_015755.json
phase5_learning_curve;imdb;rf;101;0.05;1125;2500;25000;20251107_012856;0.80964;0.8096308839083592;0.8096993215423645;0.8096399999999999;9.066539100022055;0.8028;0.802799968447995;0.8028001937921241;0.8028;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\rf_imdb_frac5_s101_20251107_012856.json
phase5_learning_curve;imdb;rf;102;0.05;1125;2500;25000;20251107_013841;0.80744;0.8074288770919408;0.8075110473523803;0.8074399999999999;8.293584100087173;0.8248;0.8247909171611456;0.8248673644967021;0.8248;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\rf_imdb_frac5_s102_20251107_013841.json
phase5_learning_curve;imdb;rf;103;0.05;1125;2500;25000;20251107_014956;0.81348;0.8134496263158777;0.813684293295168;0.81348;10.378188900067471;0.8136;0.8135798367951477;0.8137357346282296;0.8136;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\rf_imdb_frac5_s103_20251107_014956.json
phase5_learning_curve;imdb;rf;101;0.1;2250;2500;25000;20251107_012940;0.8274;0.827336614304196;0.8278814684928798;0.8273999999999999;9.982996899983846;0.824;0.8239971839549434;0.824020737327189;0.824;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\rf_imdb_frac10_s101_20251107_012940.json
phase5_learning_curve;imdb;rf;102;0.1;2250;2500;25000;20251107_013925;0.83184;0.8317869426411593;0.8322592015997861;0.83184;9.764583799988031;0.8436;0.843578951983779;0.8437850388593157;0.8435999999999999;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\rf_imdb_frac10_s102_20251107_013925.json
phase5_learning_curve;imdb;rf;103;0.1;2250;2500;25000;20251107_015046;0.83764;0.8376359408985224;0.8376737673767376;0.8376399999999999;10.646563899936154;0.8368;0.8367998955519331;0.8368008622102072;0.8368;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\rf_imdb_frac10_s103_20251107_015046.json
phase5_learning_curve;imdb;rf;101;0.2;4500;2500;25000;20251107_013032;0.84256;0.8425232325763048;0.842880220501097;0.84256;13.932720999931917;0.8388;0.8387987361820917;0.8388106251012031;0.8388;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";results\learning_curve\rf_imdb_frac20_s101_20251107_013032.json
