phase;regime;train_dataset;test_dataset;model;seed;train_size_used;test_size_used;timestamp;test_accuracy;test_f1_macro;test_precision_macro;test_recall_macro;test_elapsed_sec;model_cfg_json;class_src_json;class_tgt_json;file
phase4_transfer;size_matched;imdb;amazon;rf;101;22500;100000;20251106_201106;0.74976;0.7403347026908966;0.7909157354020964;0.7492622492581724;85.58333799999673;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""1"": 11250, ""0"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\rf_trainimdb_testamazon_size_matched_s101_20251106_201106.json
phase4_transfer;size_matched;imdb;amazon;rf;102;22500;100000;20251106_201356;0.75448;0.7458880021266119;0.793067657173941;0.7539998118770889;85.91454280004837;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""1"": 11250, ""0"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\rf_trainimdb_testamazon_size_matched_s102_20251106_201356.json
phase4_transfer;size_matched;imdb;amazon;rf;103;22500;100000;20251106_201644;0.7489;0.7393741803995226;0.7902489800988254;0.7484005008521307;84.39056870003697;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11250, ""1"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\rf_trainimdb_testamazon_size_matched_s103_20251106_201644.json
phase4_transfer;size_matched;imdb;amazon;svm;101;22500;100000;20251106_200845;0.8406;0.8400034812030515;0.845372643347071;0.8404446591630965;26.893890000064857;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""1"": 11250, ""0"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\svm_trainimdb_testamazon_size_matched_s101_20251106_200845.json
phase4_transfer;size_matched;imdb;amazon;svm;102;22500;100000;20251106_201137;0.84216;0.8416670080629852;0.8461254718709852;0.8420185565325315;26.432416199939325;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""1"": 11250, ""0"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\svm_trainimdb_testamazon_size_matched_s102_20251106_201137.json
phase4_transfer;size_matched;imdb;amazon;svm;103;22500;100000;20251106_201427;0.84203;0.8415006622819625;0.8462981051490152;0.8418833019898615;26.33538269996643;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 11250, ""1"": 11250}";"{""1"": 50132, ""0"": 49868}";results\transfer\svm_trainimdb_testamazon_size_matched_s103_20251106_201427.json
phase4_transfer;size_matched;sms;enron;logreg;101;2160;600;20251106_200746;0.88;0.7729375157682281;0.7885298295454546;0.76;0.34534200001508;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\logreg_trainsms_testenron_size_matched_s101_20251106_200746.json
phase4_transfer;size_matched;sms;enron;logreg;102;2160;600;20251106_200748;0.8916666666666667;0.7846148748281061;0.8215713540761342;0.759;0.2566865000408143;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\logreg_trainsms_testenron_size_matched_s102_20251106_200748.json
phase4_transfer;size_matched;sms;enron;logreg;103;2160;600;20251106_200750;0.8883333333333333;0.7737391020481676;0.8184216682696057;0.745;0.34489290008787066;"{""C"": 1.0, ""class_weight"": ""balanced"", ""solver"": ""liblinear"", ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\logreg_trainsms_testenron_size_matched_s103_20251106_200750.json
phase4_transfer;size_matched;sms;enron;nb;101;2160;600;20251106_200746;0.835;0.4833659491193738;0.7184873949579832;0.513;0.284390400047414;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\nb_trainsms_testenron_size_matched_s101_20251106_200746.json
phase4_transfer;size_matched;sms;enron;nb;102;2160;600;20251106_200748;0.8433333333333334;0.5136421648097685;0.9208754208754208;0.53;0.2514713000273332;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\nb_trainsms_testenron_size_matched_s102_20251106_200748.json
phase4_transfer;size_matched;sms;enron;nb;103;2160;600;20251106_200751;0.845;0.530773047200195;0.8666102650874224;0.539;0.3229171000421047;"{""alpha"": 0.1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\nb_trainsms_testenron_size_matched_s103_20251106_200751.json
phase4_transfer;size_matched;sms;enron;rf;101;2160;600;20251106_200748;0.8133333333333334;0.5356037151702786;0.5886524822695035;0.536;1.3352594000753015;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\rf_trainsms_testenron_size_matched_s101_20251106_200748.json
phase4_transfer;size_matched;sms;enron;rf;102;2160;600;20251106_200750;0.8416666666666667;0.622893662628762;0.7108471462569412;0.601;1.295464799972251;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\rf_trainsms_testenron_size_matched_s102_20251106_200750.json
phase4_transfer;size_matched;sms;enron;rf;103;2160;600;20251106_200752;0.8316666666666667;0.6414858812880477;0.6817859359758801;0.623;1.3724810999119654;"{""n_estimators"": 500, ""max_depth"": null, ""n_jobs"": -1, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 0.95, ""max_features"": 200000, ""stop_words"": ""english"", ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\rf_trainsms_testenron_size_matched_s103_20251106_200752.json
phase4_transfer;size_matched;sms;enron;svm;101;2160;600;20251106_200746;0.88;0.7014595311808933;0.884160756501182;0.656;0.28100700001232326;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\svm_trainsms_testenron_size_matched_s101_20251106_200746.json
phase4_transfer;size_matched;sms;enron;svm;102;2160;600;20251106_200748;0.8633333333333333;0.6364281280482398;0.855132672205843;0.606;0.23147700005210936;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\svm_trainsms_testenron_size_matched_s102_20251106_200748.json
phase4_transfer;size_matched;sms;enron;svm;103;2160;600;20251106_200750;0.8733333333333333;0.6848739495798319;0.8546099290780143;0.644;0.31974930001888424;"{""C"": 0.5, ""class_weight"": null, ""tfidf"": {""ngram_min"": 1, ""ngram_max"": 2, ""min_df"": 2, ""max_df"": 1.0, ""max_features"": 100000, ""stop_words"": null, ""sublinear_tf"": true, ""binary"": false}}";"{""0"": 1870, ""1"": 290}";"{""0"": 500, ""1"": 100}";results\transfer\svm_trainsms_testenron_size_matched_s103_20251106_200750.json
